genome_id,media_id,group_id
GCF_001598395.1,RCH2_defined_noCarbon_-6447438133475219131,set3IT071
GCF_001598395.1,RCH2_defined_noCarbon_-6447438133475219131,set3IT084
GCF_001598395.1,RCH2_defined_noCarbon_cpd00158,set3IT067
GCF_001598395.1,RCH2_defined_noCarbon_cpd00158,set3IT080
GCF_001598395.1,RCH2_defined_noCarbon_cpd00082,set3IT074
GCF_001598395.1,RCH2_defined_noCarbon_cpd00027,set3IT061
GCF_001598395.1,RCH2_defined_noCarbon_cpd00027,set3IT073
GCF_001598395.1,RCH2_defined_noCarbon_cpd00179,set3IT063
GCF_001598395.1,RCH2_defined_noCarbon_cpd00179,set3IT076
GCF_001598395.1,RCH2_defined_noCarbon_cpd00314,set3IT068
GCF_001598395.1,RCH2_defined_noCarbon_cpd00314,set3IT081
GCF_001598395.1,RCH2_defined_noCarbon_cpd00382,set3IT065
GCF_001598395.1,RCH2_defined_noCarbon_cpd00382,set3IT078
GCF_001598395.1,RCH2_defined_noCarbon_cpd00154,set3IT064
GCF_001598395.1,RCH2_defined_noCarbon_cpd00154,set3IT077
GCF_001598395.1,RCH2_defined_noCarbon_cpd00023,set3IT069
GCF_001598395.1,RCH2_defined_noCarbon_cpd00023,set3IT082
GCF_001598395.1,RCH2_defined_noCarbon_cpd00053,set3IT070
GCF_001598395.1,RCH2_defined_noCarbon_cpd00053,set3IT083
GCF_001598395.1,RCH2_defined_noCarbon_cpd00122,set3IT072
GCF_001598395.1,RCH2_defined_noCarbon_cpd00122,set3IT085
GCF_001598395.1,RCH2_defined_noCarbon_cpd00076,set3IT062
GCF_001598395.1,RCH2_defined_noCarbon_cpd00076,set3IT075
GCF_001598395.1,RCH2_defined_Glucose_noNitrogen_cpd00035,set5IT067
GCF_001598395.1,RCH2_defined_Glucose_noNitrogen_cpd00023,set5IT063
GCF_001598395.1,RCH2_defined_Glucose_noNitrogen_cpd00023,set5IT069
GCF_001598395.1,RCH2_defined_Glucose_noNitrogen_cpd00053,set5IT065
GCF_001598395.1,RCH2_defined_Glucose_noNitrogen_cpd00053,set5IT071
GCF_001598395.1,RCH2_defined_Glucose_noNitrogen_cpd00119,set5IT062
GCF_001598395.1,RCH2_defined_Glucose_noNitrogen_cpd00129,set5IT066
