orgId	fit.genomics Name	Scientific  Name as shown in KBase	RefSeq/Genome ID	Media w/o Carbon and Nitrogrn source	Kbase Template Media	Carbon and Nitrogen Cpds IDs	Name/Media ID	Group	Condition	Description
acidovorax_3H11	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00024	set1IT067	carbon source	a-Ketoglutaric acid disodium salt hydrate	a-Ketoglutaric (C)
acidovorax_3H12	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00024	set1IT082	carbon source	a-Ketoglutaric acid disodium salt hydrate	a-Ketoglutaric (C)
acidovorax_3H13	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00051;cpd00119;cpd00322;cpd00107;cpd00039;cpd00060;cpd00066;cpd00161;cpd00156;cpd00035;cpd00132;cpd00041;cpd00084;cpd00053;cpd00023;cpd00033;cpd00129;cpd00054;cpd00069	set2IT020	carbon source	casamino acids	casaminos (C)
acidovorax_3H14	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00082	set1IT062	carbon source	D-Fructose	D-Fructose (C)
acidovorax_3H15	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00082	set1IT077	carbon source	D-Fructose	D-Fructose (C)
acidovorax_3H16	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00082	set2IT002	carbon source	D-Fructose	D-Fructose (C)
acidovorax_3H17	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00108	set1IT065	carbon source	D-Galactose	D-Galactose (C)
acidovorax_3H18	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00108	set1IT080	carbon source	D-Galactose	D-Galactose (C)
acidovorax_3H19	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00108	set2IT005	carbon source	D-Galactose	D-Galactose (C)
acidovorax_3H20	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00222	set1IT068	carbon source	D-Gluconic Acid sodium salt	D-Gluconic Acid (C)
