genome_id	group_id	model_id
GCF_001598395.1	set5IT069	GCF_001598395.1.gf.set5IT069.RAST1.mdl
GCF_001598395.1	set5IT072	GCF_001598395.1.gf.set5IT072.RAST1.mdl
GCF_001598395.1	set3IT069	GCF_001598395.1.gf.set3IT069.RAST1.mdl
GCF_001598395.1	set3IT068	GCF_001598395.1.gf.set3IT068.RAST1.mdl
GCF_001598395.1	set3IT067	GCF_001598395.1.gf.set3IT067.RAST1.mdl
GCF_001598395.1	set3IT065	GCF_001598395.1.gf.set3IT065.RAST1.mdl
GCF_001598395.1	set3IT064	GCF_001598395.1.gf.set3IT064.RAST1.mdl
GCF_001598395.1	set3IT063	GCF_001598395.1.gf.set3IT063.RAST1.mdl
GCF_001598395.1	set3IT062	GCF_001598395.1.gf.set3IT062.RAST1.mdl
GCF_001598395.1	set3IT061	GCF_001598395.1.gf.set3IT061.RAST1.mdl
GCF_001598395.1	set5IT066	GCF_001598395.1.gf.set5IT066.RAST1.mdl
GCF_001598395.1	set5IT062	GCF_001598395.1.gf.set5IT062.RAST1.mdl
GCF_001598395.1	set5IT065	GCF_001598395.1.gf.set5IT065.RAST1.mdl
GCF_001598395.1	set5IT063	GCF_001598395.1.gf.set5IT063.RAST1.mdl
GCF_001598395.1	set5IT067	GCF_001598395.1.gf.set5IT067.RAST1.mdl
GCF_001598395.1	set3IT070	GCF_001598395.1.gf.set3IT070.RAST1.mdl
GCF_001598395.1	set3IT071	GCF_001598395.1.gf.set3IT071.RAST1.mdl
GCF_001598395.1	set3IT072	GCF_001598395.1.gf.set3IT072.RAST1.mdl
GCF_001598395.1	set3IT073	GCF_001598395.1.gf.set3IT073.RAST1.mdl
GCF_001598395.1	set3IT074	GCF_001598395.1.gf.set3IT074.RAST1.mdl
GCF_001598395.1	set3IT075	GCF_001598395.1.gf.set3IT075.RAST1.mdl
GCF_001598395.1	set3IT076	GCF_001598395.1.gf.set3IT076.RAST1.mdl
GCF_001598395.1	set3IT077	GCF_001598395.1.gf.set3IT077.RAST1.mdl
GCF_001598395.1	set3IT078	GCF_001598395.1.gf.set3IT078.RAST1.mdl
GCF_001598395.1	set5IT071	GCF_001598395.1.gf.set5IT071.RAST1.mdl
GCF_001598395.1	set3IT085	GCF_001598395.1.gf.set3IT085.RAST1.mdl
GCF_001598395.1	set3IT084	GCF_001598395.1.gf.set3IT084.RAST1.mdl
GCF_001598395.1	set3IT081	GCF_001598395.1.gf.set3IT081.RAST1.mdl
GCF_001598395.1	set3IT080	GCF_001598395.1.gf.set3IT080.RAST1.mdl
GCF_001598395.1	set3IT083	GCF_001598395.1.gf.set3IT083.RAST1.mdl
GCF_001598395.1	set3IT082	GCF_001598395.1.gf.set3IT082.RAST1.mdl
GCF_001440325.1	set3IT070	GCF_001440325.1.gf.set3IT070.RAST1.mdl
GCF_001440325.1	set3IT068	GCF_001440325.1.gf.set3IT068.RAST1.mdl
GCF_001440325.1	set1IT018	GCF_001440325.1.gf.set1IT018.RAST1.mdl
GCF_001440325.1	set1IT019	GCF_001440325.1.gf.set1IT019.RAST1.mdl
GCF_001440325.1	set3IT069	GCF_001440325.1.gf.set3IT069.RAST1.mdl
GCF_001440325.1	set3IT093	GCF_001440325.1.gf.set3IT093.RAST1.mdl
GCF_001440325.1	set2IT073	GCF_001440325.1.gf.set2IT073.RAST1.mdl
GCF_001440325.1	set1IT011	GCF_001440325.1.gf.set1IT011.RAST1.mdl
GCF_001440325.1	set1IT012	GCF_001440325.1.gf.set1IT012.RAST1.mdl
GCF_001440325.1	set1IT013	GCF_001440325.1.gf.set1IT013.RAST1.mdl
GCF_001440325.1	set1IT014	GCF_001440325.1.gf.set1IT014.RAST1.mdl
GCF_001440325.1	set2IT076	GCF_001440325.1.gf.set2IT076.RAST1.mdl
GCF_001440325.1	set2IT075	GCF_001440325.1.gf.set2IT075.RAST1.mdl
GCF_001440325.1	set1IT017	GCF_001440325.1.gf.set1IT017.RAST1.mdl
GCF_001440325.1	set2IT055	GCF_001440325.1.gf.set2IT055.RAST1.mdl
GCF_001440325.1	set2IT054	GCF_001440325.1.gf.set2IT054.RAST1.mdl
GCF_001440325.1	set1IT030	GCF_001440325.1.gf.set1IT030.RAST1.mdl
GCF_001440325.1	set2IT070	GCF_001440325.1.gf.set2IT070.RAST1.mdl
GCF_001440325.1	set2IT051	GCF_001440325.1.gf.set2IT051.RAST1.mdl
GCF_001440325.1	set2IT050	GCF_001440325.1.gf.set2IT050.RAST1.mdl
GCF_001440325.1	set2IT053	GCF_001440325.1.gf.set2IT053.RAST1.mdl
GCF_001440325.1	set2IT052	GCF_001440325.1.gf.set2IT052.RAST1.mdl
GCF_001440325.1	set2IT077	GCF_001440325.1.gf.set2IT077.RAST1.mdl
GCF_001440325.1	set2IT058	GCF_001440325.1.gf.set2IT058.RAST1.mdl
GCF_001440325.1	set1IT015	GCF_001440325.1.gf.set1IT015.RAST1.mdl
GCF_001440325.1	set1IT016	GCF_001440325.1.gf.set1IT016.RAST1.mdl
GCF_001440325.1	set3IT067	GCF_001440325.1.gf.set3IT067.RAST1.mdl
GCF_001440325.1	set3IT094	GCF_001440325.1.gf.set3IT094.RAST1.mdl
GCF_001440325.1	set2IT074	GCF_001440325.1.gf.set2IT074.RAST1.mdl
GCF_001440325.1	set3IT092	GCF_001440325.1.gf.set3IT092.RAST1.mdl
